java -cp ./bin:./lib/postgresql-42.1.4.jar cli/print_actor_vector 1582699 tf

<boxing, 0.37485112555054956>
<sports, 0.11398885981250546>
<narrated, 0.11219921286864855>
<underrated, 0.09270125321210608>
<predictable, 0.06413710806571088>
<dark, 0.05088506736329519>
<oscar (best supporting actor), 0.04475726008143436>
<imdb top 250, 0.04335424149360718>
<overrated, 0.037983550395476046>
<oscar (best picture), 0.03560831953209256>
<drama, 0.02208480573074758>
<oscar winner, 0.0037712115372521065>
<dramatic, 0.0036779843565743946>
