java -cp ./bin:./lib/postgresql-42.1.4.jar cli/print_genre_vector Horror tf

<zombies, 0.14416747979199607>
<vampires, 0.09602872415582304>
<serial killer, 0.05193327749612292>
<parody, 0.048238541140823446>
<vampire, 0.03527314811232034>
<psychology, 0.03421985600611956>
<twist ending, 0.028453194210682563>
<werewolves, 0.026273953718284927>
<comic book, 0.026035004574610904>
<sequel, 0.024467327284718773>
<violent, 0.01966966501527223>
<zombie, 0.018915943057260954>
<cannibalism, 0.01810825405633626>
<gothic, 0.017506052352620597>
<surprise ending, 0.016830034483979003>
<england, 0.016288790022927237>
<stupid, 0.014978050891013592>
<nudity (topless), 0.014760030795210056>
<atmospheric, 0.014710562782741014>
<thriller, 0.013636361174220658>
<franchise, 0.0124047073050465>
<not funny, 0.012355630750324231>
<mental hospital, 0.012273987207331144>
<marvel, 0.012097354200496438>
<british, 0.01197805649539278>
<alien invasion, 0.011519629950574413>
<slasher, 0.011112158383597682>
<inspirational, 0.0107582312382519>
<video game adaptation, 0.009875005243828698>
<mindfuck, 0.00955570160674602>
<monster, 0.009524357650569514>
<slapstick, 0.009481738098436353>
<corny, 0.009409613238733378>
<remake, 0.009257324557254686>
<action, 0.008795471116965983>
<virus, 0.008501305655306789>
<london, 0.008356796103087776>
<big budget, 0.008165626400303324>
<dark, 0.008134774773318114>
<island, 0.008129565405614663>
<author:alan moore, 0.008122778862303677>
<antarctica, 0.0077594313081509984>
<nudity (rear), 0.007528894952296024>
<unintentionally funny, 0.007137215917085148>
<sappy, 0.006936232160832243>
<adapted from:game, 0.006198747908428037>
<claustrophobic, 0.006169605492030596>
<heroine in tight suit, 0.006124629812579404>
<murder, 0.005754957427500023>
<mystery, 0.005062573918736356>
<comedy, 0.004719205881390326>
<horror, 0.004342879534708884>
<gore, 0.003850172280520184>
<gory, 0.003474096198899614>
<underrated, 0.0033997661089988722>
<very good, 0.003399569423350268>
<nudity (topless - brief), 0.00307243499114608>
<nudity (topless - notable), 0.0030087419180843586>
<pointless, 0.002743804982592322>
<clowns, 0.0020857653303634443>
<alien, 0.0020090361949419893>
<dynamic cgi action, 0.001720184799531647>
<comics, 0.001713334015598808>
<great movie, 0.001564894304144232>
<gay, 0.0013805647240830352>
<hilarious, 0.0012103104009516487>
<directorial debut, 0.001185877778911133>
<waste of time, 0.0011157375443768428>
<boring, 9.107964291357196E-4>
<spoof, 8.155243065579528E-4>
<interesting, 8.146700429695037E-4>
<creepy, 7.993057364552675E-4>
<monsters, 5.021731781595864E-4>
<idiotic, 3.289864756639458E-4>
<disappointing, 3.2898620229959756E-4>
<hannibal lecter, 3.1063812392362615E-4>
<predictable, 1.437016238876017E-4>
<mummy, 7.24872041466519E-5>
