java -cp ./bin:./lib/postgresql-42.1.4.jar cli/print_genre_vector Horror tfidf

<vampires, 0.12300644290773423>
<zombies, 0.09992928214625496>
<serial killer, 0.057054536848051646>
<vampire, 0.053053544788882724>
<werewolves, 0.0395180599116183>
<parody, 0.0334364087860867>
<cannibalism, 0.03244563567662783>
<mental hospital, 0.026968706353858337>
<psychology, 0.023719396709809083>
<surprise ending, 0.021558160790822373>
<slapstick, 0.020833507985749546>
<slasher, 0.019910315007373062>
<inspirational, 0.019276162693282903>
<violent, 0.018577243465684623>
<england, 0.017895064886722364>
<zombie, 0.017865382012602616>
<island, 0.017862480912278832>
<alien invasion, 0.017326415027885962>
<monster, 0.017065358008722598>
<twist ending, 0.016724408130909387>
<comic book, 0.015303028509621957>
<sequel, 0.014381568703753468>
<gothic, 0.014196186819404991>
<stupid, 0.014146194041826847>
<virus, 0.012786621679233253>
<author:alan moore, 0.01221728808580306>
<corny, 0.012053092070201494>
<marvel, 0.011425486610918498>
<british, 0.011312814508425277>
<unintentionally funny, 0.010734925136799618>
<sappy, 0.01043263001190043>
<franchise, 0.01005935197698163>
<not funny, 0.01001955431584955>
<claustrophobic, 0.009279564167589982>
<mindfuck, 0.009024993313110456>
<atmospheric, 0.008646672636900577>
<antarctica, 0.008524606588210753>
<gore, 0.00845969316173759>
<thriller, 0.008015271255995904>
<big budget, 0.007712120647223809>
<video game adaptation, 0.006844832042774537>
<london, 0.006776778470752744>
<heroine in tight suit, 0.006728593575642795>
<dark, 0.006596734665797995>
<clowns, 0.006028637204481463>
<nudity (topless), 0.005984677482059681>
<adapted from:game, 0.005854479422392807>
<remake, 0.005441331927425218>
<gory, 0.00522530956699128>
<action, 0.005169860634084351>
<mystery, 0.004781406708165473>
<murder, 0.0046668688709983605>
<horror, 0.004101682992353161>
<underrated, 0.0032109485689876768>
<nudity (rear), 0.0030527042057677204>
<pointless, 0.002591418468204689>
<comics, 0.0025769869659900955>
<comedy, 0.0023240979249199455>
<dynamic cgi action, 0.0022034429301694626>
<nudity (topless - notable), 0.002085500977552695>
<alien, 0.0018974575568944138>
<nudity (topless - brief), 0.001805936316574326>
<gay, 0.0015167053711793207>
<great movie, 0.0012690200764153834>
<spoof, 0.0012266116760154618>
<creepy, 0.0012022176913159815>
<very good, 0.001106296042190808>
<hilarious, 8.389232420220122E-4>
<directorial debut, 8.219878389409419E-4>
<monsters, 7.553073265371389E-4>
<waste of time, 5.494745041463517E-4>
<boring, 5.353539954864438E-4>
<hannibal lecter, 4.672237807705133E-4>
<idiotic, 4.214099113772299E-4>
<disappointing, 3.614282846485906E-4>
<interesting, 3.3032027704511276E-4>
<mummy, 1.5927066649341147E-4>
<predictable, 1.165319889298104E-4>
