java -cp ./bin:./lib/postgresql-42.1.4.jar cli/differentiate_genre Horror Romance pdiff2

<gothic, 0.5144629357120953>
<franchise, 0.3906853955727238>
<vampire, 0.3906853955727238>
<vampires, 0.3906853955727238>
<action, 0.27498446812137045>
<horror, 0.27498446812137045>
<werewolves, 0.27498446812137045>
<zombies, 0.25688251055556927>
<cannibalism, 0.16922161938784686>
<comic book, 0.16922161938784686>
<hilarious, 0.16922161938784686>
<slasher, 0.16922161938784686>
<psychology, 0.1676871927612833>
<serial killer, 0.1676871927612833>
<interesting, 0.09648853198130922>
<sequel, 0.09648853198130922>
<pointless, 0.08152516476794328>
<stupid, 0.08152516476794328>
<thriller, 0.08152516476794328>
<zombie, 0.08152516476794328>
<alien, 0.07704438864971604>
<alien invasion, 0.07704438864971604>
<antarctica, 0.07704438864971604>
<author:alan moore, 0.07704438864971604>
<big budget, 0.07704438864971604>
<claustrophobic, 0.07704438864971604>
<clowns, 0.07704438864971604>
<comics, 0.07704438864971604>
<corny, 0.07704438864971604>
<creepy, 0.07704438864971604>
<dark, 0.07704438864971604>
<dynamic cgi action, 0.07704438864971604>
<gore, 0.07704438864971604>
<gory, 0.07704438864971604>
<hannibal lecter, 0.07704438864971604>
<heroine in tight suit, 0.07704438864971604>
<inspirational, 0.07704438864971604>
<island, 0.07704438864971604>
<marvel, 0.07704438864971604>
<mental hospital, 0.07704438864971604>
<monsters, 0.07704438864971604>
<mummy, 0.07704438864971604>
<murder, 0.07704438864971604>
<mystery, 0.07704438864971604>
<sappy, 0.07704438864971604>
<slapstick, 0.07704438864971604>
<surprise ending, 0.07704438864971604>
<underrated, 0.07704438864971604>
<unintentionally funny, 0.07704438864971604>
<virus, 0.07704438864971604>
<atmospheric, 0.03878073946108243>
<parody, 0.03878073946108243>
<adapted from:game, 0.01904819772691231>
<disappointing, 0.01904819772691231>
<great movie, 0.01904819772691231>
<idiotic, 0.01904819772691231>
<london, 0.01904819772691231>
<mindfuck, 0.01904819772691231>
<monster, 0.01904819772691231>
<nudity (topless - brief), 0.01904819772691231>
<predictable, 0.01904819772691231>
<twist ending, 0.01904819772691231>
<very good, 0.01904819772691231>
<video game adaptation, 0.01904819772691231>
<violent, 0.01904819772691231>
<comedy, 0.017341025291771624>
<not funny, 0.017341025291771624>
<nudity (rear), 0.017341025291771624>
<nudity (topless), 0.0030892863198067337>
<waste of time, 0.002914010979891594>
<remake, 8.631354379938944E-4>
<adventure, -7.962818239277339E-5>
<affectionate, -7.962818239277339E-5>
<aliens, -7.962818239277339E-5>
<amazing cinematography, -7.962818239277339E-5>
<american civil war, -7.962818239277339E-5>
<animation, -7.962818239277339E-5>
<art, -7.962818239277339E-5>
<australia, -7.962818239277339E-5>
<awful, -7.962818239277339E-5>
<ballet, -7.962818239277339E-5>
<bdsm, -7.962818239277339E-5>
<berlin, -7.962818239277339E-5>
<biographical, -7.962818239277339E-5>
<biopic, -7.962818239277339E-5>
<bizarre, -7.962818239277339E-5>
<book was better, -7.962818239277339E-5>
<books, -7.962818239277339E-5>
<brilliant, -7.962818239277339E-5>
<campy, -7.962818239277339E-5>
<cartoon, -7.962818239277339E-5>
<christmas, -7.962818239277339E-5>
<cinematography, -7.962818239277339E-5>
<civil war, -7.962818239277339E-5>
<coen bros, -7.962818239277339E-5>
<college, -7.962818239277339E-5>
<colourful, -7.962818239277339E-5>
<coming of age, -7.962818239277339E-5>
<computer animation, -7.962818239277339E-5>
<computer game, -7.962818239277339E-5>
<cute!, -7.962818239277339E-5>
<dance, -7.962818239277339E-5>
<death, -7.962818239277339E-5>
<death penalty, -7.962818239277339E-5>
<depressing, -7.962818239277339E-5>
<disney, -7.962818239277339E-5>
<dramatic, -7.962818239277339E-5>
<dreamlike, -7.962818239277339E-5>
<dreamworks, -7.962818239277339E-5>
<enigmatic, -7.962818239277339E-5>
<exceptional acting, -7.962818239277339E-5>
<fairy tale, -7.962818239277339E-5>
<family, -7.962818239277339E-5>
<family bonds, -7.962818239277339E-5>
<fantasy world, -7.962818239277339E-5>
<father-son relationship, -7.962818239277339E-5>
<football, -7.962818239277339E-5>
<fun movie, -7.962818239277339E-5>
<funny as hell, -7.962818239277339E-5>
<gambling, -7.962818239277339E-5>
<good, -7.962818239277339E-5>
<great, -7.962818239277339E-5>
<great soundtrack, -7.962818239277339E-5>
<heist, -7.962818239277339E-5>
<historical, -7.962818239277339E-5>
<horrible, -7.962818239277339E-5>
<imagination, -7.962818239277339E-5>
<immigrants, -7.962818239277339E-5>
<indians, -7.962818239277339E-5>
<italy, -7.962818239277339E-5>
<jane austen, -7.962818239277339E-5>
<japan, -7.962818239277339E-5>
<kids, -7.962818239277339E-5>
<life, -7.962818239277339E-5>
<life & death, -7.962818239277339E-5>
<love story, -7.962818239277339E-5>
<love triangles, -7.962818239277339E-5>
