java -cp ./bin:./lib/postgresql-42.1.4.jar cli/print_user_vector 146 tf

<time travel, 0.03486557475466048>
<based on a book, 0.032941385424320443>
<comedy, 0.026116372350121212>
<parody, 0.023416973105287685>
<directorial debut, 0.020508362784198753>
<romance, 0.01843507627504562>
<comic book, 0.018381672096170282>
<vampires, 0.01661763070074408>
<surreal, 0.015114590795736097>
<philip k. dick, 0.01472698897562286>
<pixar, 0.014456233033334301>
<true story, 0.013705389641432253>
<twist ending, 0.012993050729018168>
<sci-fi, 0.01269888683270886>
<drugs, 0.012354465999569556>
<animation, 0.012127642329634088>
<serial killer, 0.011563302192641218>
<drama, 0.011312348563218548>
<black comedy, 0.010900098110878775>
<hip hop, 0.010659737477493058>
<heist, 0.010409841904439695>
<sequel, 0.009818711083035201>
<fantasy, 0.009670355371535305>
<superhero, 0.009444155439264024>
<boxing, 0.009424412412411851>
<satire, 0.008960822537897997>
<fairy tale, 0.008943818170499801>
<religion, 0.008704129435587066>
<psychology, 0.008289013502266665>
<hilarious, 0.007855290213470093>
<chick flick, 0.007528380017171976>
<biography, 0.007486302110242636>
<action, 0.007386467222653556>
<crime, 0.0069594143511125745>
<big budget, 0.0069414311109185145>
<based on a tv show, 0.006905969476644287>
<funny, 0.006606844145603252>
<nudity (topless), 0.006567880163199541>
<computer animation, 0.006325549584258473>
<imdb top 250, 0.006162348405114281>
<magic, 0.006080187866259246>
<dystopia, 0.005986490199420197>
<thriller, 0.00587065924237915>
<mindfuck, 0.005835188545274799>
<nudity (topless - notable), 0.005694744858757316>
<future, 0.005399462981019266>
<quirky, 0.005366200244951118>
<nudity (full frontal), 0.005362708557266043>
<overrated, 0.005357140406724141>
<mental illness, 0.005218504871006292>
<college, 0.005197885044387269>
<scenic, 0.0048623333524244455>
<martial arts, 0.004763180384707045>
<nudity (topless - brief), 0.004704443805063134>
<revenge, 0.00464186496306507>
<very good, 0.004494071030842658>
<narrated, 0.004491636992861433>
<father-son relationship, 0.004229722160880538>
<immigrants, 0.004206288267413316>
<fun, 0.004189930120469421>
<guilty pleasure, 0.00405073144024006>
<not funny, 0.0039533201044729925>
<biopic, 0.0038724879383241952>
<biographical, 0.003841064492010462>
<sex, 0.0038137528110569058>
<caper, 0.0038128285185745087>
<video game adaptation, 0.0038061334399638732>
<science, 0.0037315107938733615>
<gothic, 0.00372036452948593>
<murder, 0.0037140393421534476>
<space, 0.0036523165018890035>
<nudity (rear), 0.003641584513409302>
<nudity (full frontal - notable), 0.003639368912872064>
<lesbian, 0.0035892356604352257>
<surprise ending, 0.00357669883257459>
<talking animals, 0.0035445507955640184>
<ensemble cast, 0.0035409037907229595>
<good romantic comedies, 0.003507327050829084>
<survival, 0.0034781259731276474>
<interracial romance, 0.0034160072149959785>
<amazing cinematography, 0.003399445822467565>
<vampire, 0.0033802375025926397>
<antarctica, 0.003371305676841147>
<trains, 0.0033223376080732726>
<harry potter, 0.0032836445520046764>
<atmospheric, 0.0032510897914448103>
<artistic, 0.0031714330917914616>
<new york, 0.0031234329448997164>
<mystery, 0.0030956494739241905>
<franchise, 0.0030534504678320874>
<imagination, 0.0029979359857246306>
<remake, 0.0029855633926124388>
<stupid as hell, 0.0029721553711587155>
<boring, 0.0029306878981237056>
<sad, 0.0029152573550809057>
<history, 0.0029120761855176663>
<disturbing, 0.002883688990627805>
<violence, 0.002883607889917219>
<family, 0.002861071216632156>
<great soundtrack, 0.002842785214007422>
<underrated, 0.002808188992867326>
<pg-13, 0.00277512014907825>
<adapted from:comic, 0.0027702714478199447>
<star trek, 0.002746359519111276>
<prison, 0.0027030429092083546>
<sports, 0.0026957668218537565>
<oscar (best actor), 0.0026682397534471217>
<cartoon, 0.0026424498436708236>
<marvel, 0.0026091801942899552>
<heroine in tight suit, 0.0026031982035533106>
<based on a play, 0.002600136738871277>
<cult film, 0.002599787413246094>
<coming of age, 0.0025742586698340084>
<weird, 0.0025664137156040084>
<road trip, 0.0025646984297656027>
<oscar (best music - original song), 0.002539090618970202>
<new york city, 0.002537369523625307>
<easily confused with other movie(s) (title), 0.002514388161666045>
<irreverent, 0.0025124553679046913>
<hannibal lecter, 0.002455599819319317>
<historical, 0.0024167141781106104>
<canada, 0.002404348469263608>
<super-hero, 0.0022849409476476804>
<cute, 0.0022491125301812706>
<london, 0.0022454473415849017>
<gangs, 0.002212511506446891>
<steampunk, 0.0022095814818491703>
<christmas, 0.0022092645732701964>
<fascism, 0.0021971552669920852>
<mountain climbing, 0.0021651800918470934>
<psychiatrist, 0.002160447929288957>
<bdsm, 0.0021383210876391597>
<australian, 0.0021161968602672818>
<redemption, 0.0021023026412154947>
<80s, 0.0020910574409325556>
<feel good movie, 0.0020265328790211997>
<werewolves, 0.0020227840044838566>
<italy, 0.0020209331538115307>
<oscar (best cinematography), 0.002002976027349138>
<puppets, 0.0019974529585775913>
<dreamworks, 0.001968673796284918>
<black and white, 0.0019585955515704213>
<cannibalism, 0.0019417125157152456>
<disney, 0.0019221568163998112>
<racism, 0.0018771668652953345>
<great movie, 0.001849763394139253>
<coen bros, 0.001824442108203889>
<hackers, 0.001792139944986164>
<kidnapping, 0.0017706708847085822>
<pornography, 0.00177047684719185>
<reality tv, 0.0017697648631240922>
<con men, 0.0017697235575329557>
<journalism, 0.0017493938867155262>
<cheerleading, 0.0017465720351286307>
<ireland, 0.0017443301465745308>
<mutants, 0.0017364870804341395>
<unique, 0.0017355831793195184>
<island, 0.0017276855328656627>
<author:alan moore, 0.001726243264784707>
<high school, 0.0017227400742767835>
<submarine, 0.0017222908251399898>
<brazil, 0.001715259724674032>
<shark, 0.0017092915896103635>
<robots, 0.001695708179155737>
<surrealism, 0.0016766564545282225>
<witch, 0.0016714732999813461>
<stupid, 0.0016110908000065078>
<sexy, 0.001566876940873895>
<blindness, 0.001547891851285809>
<based on book, 0.0015309415413454906>
<dumb but funny, 0.0015197942021993583>
<predictable, 0.001516803381116231>
<unintentionally funny, 0.001516792604481694>
<complicated, 0.0015148601302431976>
<courtroom, 0.0015122765265174153>
<fantasy world, 0.0015078359430899613>
<family bonds, 0.0015034722194333563>
<thought-provoking, 0.001495947949961548>
<bad sequel, 0.0014929600626791975>
<fairy tales, 0.0014905474036818538>
<romantic comedy, 0.0014796155391313985>
<love story, 0.0014791572562120148>
<brutality, 0.0014782067047602867>
<funny as hell, 0.001475692205114191>
<sappy, 0.0014740797765881728>
<bad, 0.0014733936448242913>
<excellent, 0.0014680124151536728>
<comic book adaption, 0.0014643992506879126>
<hacking, 0.0014636691119123768>
<humanity, 0.0014567982085878523>
<graphic novel, 0.0014499529832820094>
<fun movie, 0.0014499510661448681>
<dark hero, 0.0014499414223640963>
<oscar, 0.001447446645992531>
<dumb, 0.0014352034596373812>
<adventure, 0.0014351922472898575>
<cgi, 0.001432184985303366>
<good, 0.001430570872020466>
<dreamlike, 0.0014272908827518492>
<great music, 0.0014201106232067863>
<literary adaptation, 0.0014096427929871386>
<humor, 0.0014034168610730217>
<sexuality, 0.0013779110071165024>
<dark comedy, 0.0013675736003175324>
<father daughter relationship, 0.0013594356436277602>
<pirates, 0.001354896153352331>
<las vegas, 0.0013141413905733907>
<not as good as the first, 0.001312567537170459>
<claustrophobic, 0.0013111571923276604>
<american civil war, 0.0012923650364500736>
<ocean, 0.0012741606283439774>
<treasure hunt, 0.0012405117924745733>
<alter ego, 0.001231691596390267>
<peter pan, 0.0012264607167475836>
<courtroom drama, 0.0012083107727648217>
<dark, 0.0012034007231179927>
<politics, 0.0011979198023160233>
<adapted from:book, 0.00119179205106157>
<war, 0.001177362369796693>
<clever, 0.0011759846453328299>
<casino, 0.0011233891207132318>
<dynamic cgi action, 0.0010967021069449045>
<pg, 0.0010955704731759148>
<epic, 0.0010929957870425932>
<photographer, 0.0010706434784459582>
<oscar (best supporting actor), 0.0010584818285143815>
<music, 0.0010557867984541409>
<reflective, 0.001048690689610571>
<enigmatic, 0.001016445314318776>
<deadpan, 0.0010070499480445275>
<animated, 9.930348331627045E-4>
<homosexuality, 9.751855892358128E-4>
<aliens, 9.697359526262866E-4>
<irish, 9.448151450207409E-4>
<teen, 9.34201467140687E-4>
<horror, 9.229435730860693E-4>
<waste of time, 9.10640926432005E-4>
<crappy sequel, 8.716393274737784E-4>
<campy, 8.536328202062298E-4>
<oscar (best picture), 8.421149797837624E-4>
<mockumentary, 8.037646265029512E-4>
<australia, 7.766074203269378E-4>
<pregnancy, 7.744473586717353E-4>
<girlie movie, 7.626284696230087E-4>
<africa, 7.600997076384826E-4>
<fish, 7.593080461892285E-4>
<wuxia, 7.526230180248193E-4>
<gory, 7.383107759336171E-4>
<gambling, 7.22464533653998E-4>
<too long, 7.09840766528755E-4>
<nudity (full frontal - brief), 6.525331802434723E-4>
<intellectual, 6.343900043357702E-4>
<strange, 6.089279540581782E-4>
<romantic, 5.911900202756154E-4>
<love, 5.911855179080864E-4>
<dance, 5.909909575357702E-4>
<violent, 5.54508157258441E-4>
<oscar (best music - original score), 4.507550480178663E-4>
<alternate universe, 4.309879988563627E-4>
<alien, 4.269579732524852E-4>
<whimsical, 4.062020008488939E-4>
<movielens top pick, 3.9776633599909354E-4>
<comics, 3.641156991826777E-4>
<depressing, 3.610892948723051E-4>
<anime, 3.4704010723492424E-4>
<gangsters, 3.236892025678973E-4>
<cool, 3.234379123647162E-4>
<oscar (best animated feature), 3.2023504429474066E-4>
<death penalty, 3.1057055263238986E-4>
<feel-good, 2.845873024801383E-4>
<very funny, 2.781650963892909E-4>
<ballet, 2.4255409970323142E-4>
<oscar (best actress), 2.3935001163689315E-4>
<oscar winner, 1.7837688818485214E-4>
<creepy, 1.6986750069770653E-4>
<heartbreaking, 1.6967006461967834E-4>
<stupidity, 1.6185020745771052E-4>
<very interesting, 1.4977599059879307E-4>
<british, 1.4264150996486346E-4>
<oscar (best supporting actress), 1.401986415337771E-4>
<interesting, 1.3301562247313199E-4>
<over the top, 1.189876976295008E-4>
<jane austen, 1.1432211201572823E-4>
<monsters, 1.0672124420086278E-4>
<super hero, 1.0668987286582226E-4>
<propaganda, 9.524613269862204E-5>
<dramatic, 8.698208067050634E-5>
<realistic, 8.568217454606317E-5>
<robbery, 8.53246284691985E-5>
<funniest movies, 7.88128397882909E-5>
<relationships, 7.761550050091078E-5>
<witty, 7.442744667248213E-5>
<exceptional acting, 7.403062833175191E-5>
<art, 6.591788490014186E-5>
<nuclear, 5.229735169905087E-5>
<television, 4.4527862958342584E-5>
<civil war, 3.675735755399873E-5>
<race, 3.674931138751149E-5>
<lawyers, 3.655768481597227E-5>
<money, 3.510568581164743E-5>
<great, 3.380177112772687E-5>
<spielberg, 3.203231164131137E-5>
<slow, 2.707898117113928E-5>
<kids, 2.663533820810783E-5>
<photography, 2.66005392642388E-5>
<horrible, 2.515658642640121E-5>
<spoof, 2.3531115558315242E-5>
<plot twist, 2.1447477960975356E-5>
<special, 2.12033334507757E-5>
<cancer, 1.2536566432843462E-5>
<wizards, 1.2451428115247364E-5>
<memory loss, 1.163981101120351E-5>
<transformation, 9.993396872224745E-6>
