java -cp ./bin:./lib/postgresql-42.1.4.jar cli/print_user_vector 146 tfidf

<vampires, 0.033806476623755924>
<hip hop, 0.02281716355399409>
<time travel, 0.022059894261096898>
<black comedy, 0.02120770533117895>
<directorial debut, 0.021090258219670383>
<boxing, 0.019620474593740576>
<drugs, 0.018591136022320584>
<twist ending, 0.018299893123083884>
<serial killer, 0.015845460335301105>
<religion, 0.01490358054746536>
<philip k. dick, 0.014472668556606097>
<science, 0.014028000067597662>
<nudity (full frontal), 0.01365554714755498>
<trains, 0.013563274922625754>
<comic book, 0.01283641917049265>
<based on a tv show, 0.012764739519785196>
<parody, 0.012667987201004573>
<true story, 0.012347774347326307>
<scenic, 0.012266935537532754>
<survival, 0.012227420937040908>
<based on a book, 0.01154405273663711>
<immigrants, 0.011454552313132976>
<pixar, 0.011401111168925867>
<comedy, 0.011228599369293617>
<hilarious, 0.010546747031718576>
<heist, 0.010408664024817937>
<fantasy, 0.010160767791048566>
<antarctica, 0.010113153860402218>
<biopic, 0.010013734512349472>
<80s, 0.00993703520361509>
<easily confused with other movie(s) (title), 0.00958158863283223>
<prison, 0.009570103908876094>
<based on a play, 0.009340708391263466>
<brazil, 0.009134408754910488>
<artistic, 0.008764560579970439>
<biographical, 0.008672984519697884>
<island, 0.008614198627093103>
<surreal, 0.008584461050792703>
<big budget, 0.008580096817360149>
<surprise ending, 0.008522359365070743>
<biography, 0.008499270697810219>
<pornography, 0.008413585592313874>
<college, 0.008360651227025045>
<superhero, 0.008192375498583811>
<canada, 0.00808113283748008>
<star trek, 0.00801439194141723>
<great music, 0.0076950637755709055>
<mountain climbing, 0.007614162308759684>
<interracial romance, 0.007475580903502659>
<italy, 0.007457742528070606>
<shark, 0.007264254737346368>
<vampire, 0.007164291301605226>
<con men, 0.007048519615719064>
<nudity (topless - notable), 0.0069477174722689765>
<sex, 0.006928446401172565>
<father-son relationship, 0.006883009234985846>
<disturbing, 0.006817442421025522>
<lesbian, 0.0067500027810660605>
<mental illness, 0.006725176629125268>
<nudity (full frontal - notable), 0.006695431916462594>
<drama, 0.006694283395027614>
<cult film, 0.006688418214416345>
<irreverent, 0.006667039877826767>
<oscar (best music - original song), 0.006581525651383483>
<ireland, 0.0065625198937968214>
<mindfuck, 0.006538822007426703>
<psychology, 0.006535423190261568>
<fairy tale, 0.006477636054363074>
<romance, 0.00629023147255581>
<gothic, 0.006147451276725103>
<australian, 0.006140501309921585>
<submarine, 0.006101722081669779>
<video game adaptation, 0.006091131710434643>
<photographer, 0.006044367970007069>
<journalism, 0.005939627219527727>
<bdsm, 0.005839413873039404>
<adapted from:comic, 0.005784450960855451>
<stupid as hell, 0.005777905751929859>
<coen bros, 0.00576640516011201>
<complicated, 0.0057057419384648695>
<harry potter, 0.005688561059024354>
<road trip, 0.00567823522984861>
<fascism, 0.0056315676942802215>
<animation, 0.005578165200259829>
<sequel, 0.005570847220889145>
<homosexuality, 0.00551469951407058>
<steampunk, 0.005465193744704278>
<nudity (topless), 0.005372944317805869>
<puppets, 0.005299486340040971>
<sci-fi, 0.005252018532046794>
<imagination, 0.005224268477813107>
<humor, 0.005207345935033988>
<magic, 0.00520329026567503>
<satire, 0.005096757869526885>
<dystopia, 0.005044270681058776>
<crime, 0.005028459898625075>
<reality tv, 0.004998908538041288>
<great soundtrack, 0.004879113030700247>
<werewolves, 0.00483886041069575>
<narrated, 0.004784540438214659>
<underrated, 0.004781971222254583>
<gangs, 0.0047547742627858285>
<chick flick, 0.004733126350490451>
<treasure hunt, 0.0047309651759015236>
<future, 0.004721628493988137>
<historical, 0.004717900533455124>
<space, 0.004717861767504531>
<martial arts, 0.004713272706729557>
<irish, 0.004614511158894909>
<not funny, 0.0046111101646973615>
<psychiatrist, 0.004583793687881923>
<good romantic comedies, 0.004575961429590205>
<coming of age, 0.004567625286503495>
<unique, 0.004561717560297185>
<thriller, 0.004500516598637903>
<hannibal lecter, 0.004487412171846585>
<sappy, 0.0044720833827348256>
<author:alan moore, 0.004471488788826989>
<mutants, 0.004460612420607806>
<clever, 0.0044293626691389995>
<heroine in tight suit, 0.004408246675029073>
<guilty pleasure, 0.004392403818810664>
<mockumentary, 0.004343311926441145>
<oscar (best actor), 0.004296234578212534>
<computer animation, 0.004217865532636281>
<cheerleading, 0.004211540311858095>
<cannibalism, 0.0041722615661842705>
<black and white, 0.004164262609793692>
<revenge, 0.004147142753875493>
<christmas, 0.0041293494598463685>
<hackers, 0.00412542009699995>
<deadpan, 0.004053226828656278>
<epic, 0.0040525615504221>
<enigmatic, 0.004032100909491906>
<caper, 0.003994938401851924>
<unintentionally funny, 0.003975496469266837>
<history, 0.00396385957205831>
<sports, 0.0038371725616308623>
<bad sequel, 0.0038029290961020842>
<family, 0.00380291154927168>
<mystery, 0.003753433003531427>
<blindness, 0.0037232831216908505>
<nudity (rear), 0.003722911796742097>
<ensemble cast, 0.003622279841424239>
<kidnapping, 0.0036112571098990617>
<american civil war, 0.003609700787583472>
<courtroom drama, 0.00358723200490974>
<graphic novel, 0.003586323491323082>
<marvel, 0.0034648165025666414>
<claustrophobic, 0.0034389341452580133>
<talking animals, 0.0034344358334487623>
<sad, 0.00342822232101178>
<father daughter relationship, 0.0034116975966897315>
<hacking, 0.0033692960120299117>
<amazing cinematography, 0.0033534796194318035>
<not as good as the first, 0.0033439847535800373>
<redemption, 0.003324177292076314>
<dark comedy, 0.0032590724102006014>
<oscar (best cinematography), 0.0032567177160736857>
<courtroom, 0.0032538376937352627>
<sexy, 0.0030968336452668332>
<based on book, 0.0030786382152693977>
<brutality, 0.003047716237154923>
<very good, 0.003016818501938411>
<london, 0.0030085084160766705>
<atmospheric, 0.0030062577433212314>
<weird, 0.003003067510853786>
<humanity, 0.0030016698750808674>
<dark hero, 0.002989439840606845>
<oscar, 0.0029835379731928003>
<sexuality, 0.002978228228496365>
<campy, 0.0029258902489040085>
<witch, 0.0028953327538287893>
<wuxia, 0.0028887074995745526>
<bad, 0.0028598410169425378>
<nudity (topless - brief), 0.0028263529866255593>
<murder, 0.0028111622867247493>
<dumb but funny, 0.0028046351684087316>
<fun, 0.0027119388966360377>
<franchise, 0.0027071997594983336>
<peter pan, 0.002644509242223648>
<new york, 0.002644431206522105>
<high school, 0.0026358683064310637>
<dance, 0.0026356194508368566>
<too long, 0.0026328813855531733>
<fantasy world, 0.0026275877219221052>
<family bonds, 0.0026199834021322084>
<pregnancy, 0.002517130366468989>
<action, 0.0025054590401390243>
<dreamlike, 0.002470746233156071>
<racism, 0.002438074341902027>
<pg, 0.002421586690357068>
<australia, 0.002419365232471754>
<dumb, 0.002411245939639737>
<intellectual, 0.002391269706325994>
<love story, 0.002350886565405525>
<funny, 0.00235011244678862>
<oscar (best supporting actor), 0.002211296882285956>
<comic book adaption, 0.0021324260830678727>
<remake, 0.0021172851368495066>
<excellent, 0.0020822842239163765>
<new york city, 0.0020713255639077193>
<pg-13, 0.0020710722662411847>
<music, 0.002023122820005219>
<super-hero, 0.0019744791939390045>
<gory, 0.001935781333412092>
<romantic comedy, 0.0019147000658104355>
<great movie, 0.0018988025152960708>
<cute, 0.0018751888272447795>
<quirky, 0.0018648221546359943>
<fun movie, 0.0018518403539355905>
<surrealism, 0.0018358590920372149>
<reflective, 0.0018298700491470852>
<waste of time, 0.00180885059929694>
<robots, 0.0017946828925330454>
<violence, 0.0017876351879851933>
<feel good movie, 0.001774720157037446>
<oscar (best picture), 0.0017592803004806933>
<adapted from:book, 0.0017541815370087969>
<stupid, 0.0017468247828958054>
<boring, 0.001746315828909635>
<imdb top 250, 0.0017293364981112826>
<overrated, 0.0017025427628029049>
<africa, 0.0016985555189975177>
<good, 0.0016812108145253391>
<funny as hell, 0.0015604083203357624>
<crappy sequel, 0.001532316881145416>
<politics, 0.0015079586655739488>
<dark, 0.0014313801593882954>
<cartoon, 0.0014313143123383092>
<thought-provoking, 0.0014276910347988717>
<gambling, 0.0014270372233560278>
<ocean, 0.0014160074198473027>
<dreamworks, 0.0014044188532133422>
<pirates, 0.0013806432365455978>
<cgi, 0.0013268600665391184>
<predictable, 0.0013200975589344607>
<las vegas, 0.0013041480044756603>
<aliens, 0.0012925126809421774>
<movielens top pick, 0.001262548194688663>
<horror, 0.001233651636940673>
<nudity (full frontal - brief), 0.0012306017049082195>
<literary adaptation, 0.0012174415980732184>
<adventure, 0.0011821232504584472>
<casino, 0.0011770448937572003>
<feel-good, 0.001176233108298745>
<alter ego, 0.0011241207070027126>
<teen, 9.463634020846901E-4>
<comics, 9.431690770039306E-4>
<fairy tales, 9.359962900762165E-4>
<animated, 9.23690685918223E-4>
<romantic, 9.057311028733981E-4>
<disney, 8.888807207077172E-4>
<alternate universe, 8.730715906764583E-4>
<alien, 8.532008292649389E-4>
<girlie movie, 8.064092262604228E-4>
<dynamic cgi action, 7.842356085930005E-4>
<anime, 7.640321108227894E-4>
<death penalty, 7.446432044333148E-4>
<fish, 7.272302294398488E-4>
<ballet, 7.186819236114514E-4>
<gangsters, 7.087458006919034E-4>
<war, 6.948117996070259E-4>
<whimsical, 6.891884971677776E-4>
<stupidity, 6.878411754972563E-4>
<depressing, 6.500431605329843E-4>
<strange, 6.066014168747941E-4>
<heartbreaking, 5.565005784406331E-4>
<love, 5.46714386291127E-4>
<oscar (best actress), 4.976585172389999E-4>
<cool, 4.887096071218114E-4>
<violent, 4.659901421976752E-4>
<creepy, 4.2805685956725663E-4>
<oscar (best music - original score), 4.1352628042755357E-4>
<oscar (best supporting actress), 3.916647323307678E-4>
<monsters, 3.1484422233242325E-4>
<over the top, 2.7394360904493885E-4>
<robbery, 2.173787242376594E-4>
<art, 1.9984577411765828E-4>
<very interesting, 1.8984672331506837E-4>
<oscar (best animated feature), 1.8892660031117502E-4>
<jane austen, 1.8169691974119522E-4>
<very funny, 1.77855150306031E-4>
<dramatic, 1.7660005156594228E-4>
<money, 1.4502305829197277E-4>
<exceptional acting, 1.3898145120695365E-4>
<british, 1.3778486320502293E-4>
<television, 1.3005066513201765E-4>
<propaganda, 1.206829718905905E-4>
<nuclear, 1.0592786054564106E-4>
<realistic, 1.0515557054871772E-4>
<interesting, 1.0287146098203755E-4>
<civil war, 1.026668617379315E-4>
<super hero, 9.739859554254938E-5>
<oscar winner, 9.424440693072527E-5>
<spielberg, 8.90191593586734E-5>
<race, 8.805858134685639E-5>
<funniest movies, 8.61472606353286E-5>
<plot twist, 8.546020043095362E-5>
<lawyers, 7.106857852222469E-5>
<witty, 7.031336083208492E-5>
<relationships, 6.941293796534361E-5>
<photography, 6.691097492017277E-5>
<horrible, 5.135810286662558E-5>
<slow, 3.857064442723914E-5>
<cancer, 3.4832925030194304E-5>
<special, 3.3922174263462945E-5>
<great, 3.18522832905251E-5>
<spoof, 3.120930275768415E-5>
<transformation, 2.5670602859402942E-5>
<wizards, 2.156841371885671E-5>
<kids, 1.8736172926585227E-5>
<memory loss, 1.2246754846539556E-5>
